id,city,name,value,price
PH137602017,CITY OF MAKATI,Pinagkaisahan,,
PH137602018,CITY OF MAKATI,Pio Del Pilar,,
PH137602019,CITY OF MAKATI,Pitogo,,
PH137602020,CITY OF MAKATI,Poblacion,277000,92700000
PH137602021,CITY OF MAKATI,Post Proper Northside,,
PH137602022,CITY OF MAKATI,Post Proper Southside,,
PH137602033,CITY OF MAKATI,Rizal,71900,8110000
PH137602023,CITY OF MAKATI,San Antonio,297000,21600000
PH137602024,CITY OF MAKATI,San Isidro,,
PH137602025,CITY OF MAKATI,San Lorenzo,335000,200000000
PH137602026,CITY OF MAKATI,Santa Cruz,262000,18000000
PH137602027,CITY OF MAKATI,Singkamas,191000,10500000
PH137602028,CITY OF MAKATI,South Cembo,189000,12000000
PH137602029,CITY OF MAKATI,Tejeros,153000,25600000
PH137602030,CITY OF MAKATI,Urdaneta,299000,339000000
PH137602031,CITY OF MAKATI,Valenzuela,152000,42000000
PH137602032,CITY OF MAKATI,West Rembo,209000,14300000
PH137502001,CITY OF MALABON,Acacia,,
PH137502002,CITY OF MALABON,Baritan,,
PH137502003,CITY OF MALABON,Bayan-bayanan,,
PH137502004,CITY OF MALABON,Catmon,,
PH137502005,CITY OF MALABON,Concepcion,,
PH137502006,CITY OF MALABON,Dampalit,,
PH137502007,CITY OF MALABON,Flores,,
PH137502008,CITY OF MALABON,Hulong Duhat,,
PH137502009,CITY OF MALABON,Ibaba,,
PH137502010,CITY OF MALABON,Longos,,
PH137502011,CITY OF MALABON,Maysilo,,
PH137502012,CITY OF MALABON,Muzon,,
PH137502013,CITY OF MALABON,Niugan,,
PH137502014,CITY OF MALABON,Panghulo,,
PH137502015,CITY OF MALABON,Potrero,,
PH137502016,CITY OF MALABON,San Agustin,,
PH137502017,CITY OF MALABON,Santolan,,
PH137502018,CITY OF MALABON,Tañong (Pob.),,
PH137502019,CITY OF MALABON,Tinajeros,,
PH137502020,CITY OF MALABON,Tonsuya,,
PH137502021,CITY OF MALABON,Tugatog,,
PH137401001,CITY OF MANDALUYONG,Addition Hills,306000,43500000
PH137401002,CITY OF MANDALUYONG,Bagong Silang,,
PH137401003,CITY OF MANDALUYONG,Barangka Drive,303000,14000000
PH137401004,CITY OF MANDALUYONG,Barangka Ibaba,,
PH137401005,CITY OF MANDALUYONG,Barangka Ilaya,289000,12200000
PH137401006,CITY OF MANDALUYONG,Barangka Itaas,263000,9000000
PH137401008,CITY OF MANDALUYONG,Buayang Bato,,
PH137401007,CITY OF MANDALUYONG,Burol,76000,9000000
PH137401009,CITY OF MANDALUYONG,Daang Bakal,311000,24000000
PH137401010,CITY OF MANDALUYONG,Hagdang Bato Itaas,184000,14500000
PH137401011,CITY OF MANDALUYONG,Hagdang Bato Libis,190000,9500000
PH137401012,CITY OF MANDALUYONG,Harapin Ang Bukas,,
PH137401013,CITY OF MANDALUYONG,Highway Hills,200000,15200000
PH137401014,CITY OF MANDALUYONG,Hulo,,
PH137401015,CITY OF MANDALUYONG,Mabini-J. Rizal,177000,29000000
PH137401016,CITY OF MANDALUYONG,Malamig,193000,23400000
PH137401017,CITY OF MANDALUYONG,Mauway,,
PH137401018,CITY OF MANDALUYONG,Namayan,,
PH137401019,CITY OF MANDALUYONG,New Zañiga,349000,26300000
PH137401020,CITY OF MANDALUYONG,Old Zañiga,209000,31600000
PH137401021,CITY OF MANDALUYONG,Pag-asa,,
PH137401022,CITY OF MANDALUYONG,Plainview,294000,14100000
PH137401023,CITY OF MANDALUYONG,Pleasant Hills,272000,31400000
PH137401024,CITY OF MANDALUYONG,Poblacion,205000,16800000
PH137401025,CITY OF MANDALUYONG,San Jose,,
PH137401026,CITY OF MANDALUYONG,Vergara,265000,13500000
PH137401027,CITY OF MANDALUYONG,Wack-wack Greenhills,336000,45800000
PH133902000,CITY OF MANILA,BINONDO,429000,36500000
PH133908000,CITY OF MANILA,ERMITA,416000,34900000
PH133909000,CITY OF MANILA,INTRAMUROS,,
PH133910000,CITY OF MANILA,MALATE,199000,15800000
PH133911000,CITY OF MANILA,PACO,482000,42800000
PH133912000,CITY OF MANILA,PANDACAN,143000,15000000
PH133913000,CITY OF MANILA,PORT AREA,,
PH133903000,CITY OF MANILA,QUIAPO,435000,11900000
PH133906000,CITY OF MANILA,SAMPALOC,219000,48000000
PH133907000,CITY OF MANILA,SAN MIGUEL,,
PH133904000,CITY OF MANILA,SAN NICOLAS,,
PH133914000,CITY OF MANILA,SANTA ANA,173000,8940000
PH133905000,CITY OF MANILA,SANTA CRUZ,305000,14500000
PH133901000,CITY OF MANILA,TONDO I / II,99200,10500000
PH137402001,CITY OF MARIKINA,Barangka,,42800000
PH137402002,CITY OF MARIKINA,Calumpang,,6210000
PH137402012,CITY OF MARIKINA,Concepcion Dos,,8890000
PH137402003,CITY OF MARIKINA,Concepcion Uno,,7790000
PH137402015,CITY OF MARIKINA,Fortune,,4350000
PH137402014,CITY OF MARIKINA,Industrial Valley,,25000000
PH137402004,CITY OF MARIKINA,Jesus De La Peña,,5070000
PH137402005,CITY OF MARIKINA,Malanday,,11600000
PH137402013,CITY OF MARIKINA,Marikina Heights (Concepcion),,6500000
PH137402006,CITY OF MARIKINA,Nangka,,6500000
PH137402007,CITY OF MARIKINA,Parang,,6200000
PH137402008,CITY OF MARIKINA,San Roque,,6580000
PH137402009,CITY OF MARIKINA,Santa Elena (Pob.),,6490000
PH137402010,CITY OF MARIKINA,Santo Niño,,8000000
PH137402011,CITY OF MARIKINA,Tañong,,6600000
PH137402016,CITY OF MARIKINA,Tumana,,
PH137603001,CITY OF MUNTINLUPA,Alabang,141000,59900000
PH137603002,CITY OF MUNTINLUPA,Bayanan,,
PH137603003,CITY OF MUNTINLUPA,Buli,,
PH137603004,CITY OF MUNTINLUPA,Cupang,133000,48000000
PH137603009,CITY OF MUNTINLUPA,New Alabang Village,223000,155000000
PH137603005,CITY OF MUNTINLUPA,Poblacion,81900,8550000
PH137603006,CITY OF MUNTINLUPA,Putatan,55000,6080000
PH137603007,CITY OF MUNTINLUPA,Sucat,43200,2030000
PH137603008,CITY OF MUNTINLUPA,Tunasan,70800,10800000
PH137503002,CITY OF NAVOTAS,Bagumbayan North,,
PH137503003,CITY OF NAVOTAS,Bagumbayan South,,
PH137503004,CITY OF NAVOTAS,Bangculasi,,
PH137503005,CITY OF NAVOTAS,Daanghari,,
PH137503006,CITY OF NAVOTAS,Navotas East,,
PH137503007,CITY OF NAVOTAS,Navotas West,,
PH137503008,CITY OF NAVOTAS,"North Bay Blvd., North",,
PH137503009,CITY OF NAVOTAS,"North Bay Blvd., South",,
PH137503010,CITY OF NAVOTAS,San Jose (Pob.),,
PH137503011,CITY OF NAVOTAS,San Rafael Village,,
PH137503012,CITY OF NAVOTAS,San Roque,,
PH137503001,CITY OF NAVOTAS,Sipac-Almacen,,
PH137503013,CITY OF NAVOTAS,Tangos,,
PH137503014,CITY OF NAVOTAS,Tanza,,
PH137604007,CITY OF PARAÑAQUE,B. F. Homes,,25000000
PH137604001,CITY OF PARAÑAQUE,Baclaran,,24500000
PH137604008,CITY OF PARAÑAQUE,Don Bosco,,12800000
PH137604002,CITY OF PARAÑAQUE,Don Galo,,96000000
PH137604003,CITY OF PARAÑAQUE,La Huerta,,2170000
PH137604009,CITY OF PARAÑAQUE,Marcelo Green Village,,15900000
PH137604010,CITY OF PARAÑAQUE,Merville,,31000000
PH137604011,CITY OF PARAÑAQUE,Moonwalk,,12500000
PH137604012,CITY OF PARAÑAQUE,San Antonio,,7500000
PH137604004,CITY OF PARAÑAQUE,San Dionisio,,7180000
PH137604013,CITY OF PARAÑAQUE,San Isidro,,10500000
PH137604014,CITY OF PARAÑAQUE,San Martin De Porres,,21400000
PH137604005,CITY OF PARAÑAQUE,Santo Niño,,6300000
PH137604015,CITY OF PARAÑAQUE,Sun Valley,,8200000
PH137604006,CITY OF PARAÑAQUE,Tambo,,30500000
PH137604016,CITY OF PARAÑAQUE,Vitalez,,
PH137403001,CITY OF PASIG,Bagong Ilog,,22400000
PH137403002,CITY OF PASIG,Bagong Katipunan,,
PH137403003,CITY OF PASIG,Bambang,,
PH137403004,CITY OF PASIG,Buting,,4700000
PH137403005,CITY OF PASIG,Caniogan,,28000000
PH137403006,CITY OF PASIG,Dela Paz,,6250000
PH137403007,CITY OF PASIG,Kalawaan,,
PH137403008,CITY OF PASIG,Kapasigan,,8000000
PH137403009,CITY OF PASIG,Kapitolyo,,36000000
PH137403010,CITY OF PASIG,Malinao,,
PH137403011,CITY OF PASIG,Manggahan,,5830000
PH137403012,CITY OF PASIG,Maybunga,,11000000
PH137403013,CITY OF PASIG,Oranbo,,17100000
PH137403014,CITY OF PASIG,Palatiw,,9500000
PH137403015,CITY OF PASIG,Pinagbuhatan,,15300000
PH137403016,CITY OF PASIG,Pineda,,57000000
PH137403017,CITY OF PASIG,Rosario,,13700000
PH137403018,CITY OF PASIG,Sagad,,
PH137403019,CITY OF PASIG,San Antonio,,11900000
PH137403020,CITY OF PASIG,San Joaquin,,9300000
PH137403021,CITY OF PASIG,San Jose,,17400000
PH137403022,CITY OF PASIG,San Miguel,,6830000
PH137403023,CITY OF PASIG,San Nicolas (Pob.),,18000000
PH137403024,CITY OF PASIG,Santa Cruz,,
PH137403030,CITY OF PASIG,Santa Lucia,,7250000
PH137403025,CITY OF PASIG,Santa Rosa,,
PH137403026,CITY OF PASIG,Santo Tomas,,
PH137403027,CITY OF PASIG,Santolan,,5950000
PH137403028,CITY OF PASIG,Sumilang,,
PH137403029,CITY OF PASIG,Ugong,,105000000
PH137405001,CITY OF SAN JUAN,Addition Hills,,37000000
PH137405002,CITY OF SAN JUAN,Balong-Bato,,9000000
PH137405003,CITY OF SAN JUAN,Batis,,22500000
PH137405004,CITY OF SAN JUAN,Corazon De Jesus,,40400000
PH137405005,CITY OF SAN JUAN,Ermitaño,,
PH137405021,CITY OF SAN JUAN,Greenhills,,131000000
PH137405006,CITY OF SAN JUAN,Halo-halo (St. Joseph),,
PH137405007,CITY OF SAN JUAN,Isabelita,,40700000
PH137405008,CITY OF SAN JUAN,Kabayanan,,8030000
PH137405009,CITY OF SAN JUAN,Little Baguio,,44100000
PH137405010,CITY OF SAN JUAN,Maytunas,,36600000
PH137405011,CITY OF SAN JUAN,Onse,,20300000
PH137405012,CITY OF SAN JUAN,Pasadeña,,25000000
PH137405013,CITY OF SAN JUAN,Pedro Cruz,,69000000
PH137405014,CITY OF SAN JUAN,Progreso,,6000000
PH137405015,CITY OF SAN JUAN,Rivera,,
PH137405016,CITY OF SAN JUAN,Salapan,,
PH137405017,CITY OF SAN JUAN,San Perfecto,,38500000
PH137405018,CITY OF SAN JUAN,Santa Lucia,,34000000
PH137405019,CITY OF SAN JUAN,Tibagan,,11400000
PH137405020,CITY OF SAN JUAN,West Crame,,19000000
PH137504001,CITY OF VALENZUELA,Arkong Bato,,
PH137504002,CITY OF VALENZUELA,Bagbaguin,,
PH137504003,CITY OF VALENZUELA,Balangkas,,
PH137504005,CITY OF VALENZUELA,Bignay,,4650000
PH137504006,CITY OF VALENZUELA,Bisig,,
PH137504033,CITY OF VALENZUELA,Canumay East (Canumay),,
PH137504007,CITY OF VALENZUELA,Canumay West (Canumay),,
PH137504009,CITY OF VALENZUELA,Coloong,,
PH137504010,CITY OF VALENZUELA,Dalandanan,,3260000
PH137504011,CITY OF VALENZUELA,Gen. T. De Leon,,3760000
PH137504012,CITY OF VALENZUELA,Isla,,
PH137504008,CITY OF VALENZUELA,Karuhatan,,8400000
PH137504013,CITY OF VALENZUELA,Lawang Bato,,
PH137504014,CITY OF VALENZUELA,Lingunan,,
PH137504015,CITY OF VALENZUELA,Mabolo,,
PH137504016,CITY OF VALENZUELA,Malanday,,9790000
PH137504017,CITY OF VALENZUELA,Malinta,,4520000
PH137504018,CITY OF VALENZUELA,Mapulang Lupa,,
PH137504019,CITY OF VALENZUELA,Marulas,,3400000
PH137504020,CITY OF VALENZUELA,Maysan,,
PH137504021,CITY OF VALENZUELA,Palasan,,
PH137504004,CITY OF VALENZUELA,Parada,,
PH137504022,CITY OF VALENZUELA,Pariancillo Villa,,
PH137504023,CITY OF VALENZUELA,Paso De Blas,,
PH137504024,CITY OF VALENZUELA,Pasolo,,
PH137504025,CITY OF VALENZUELA,Poblacion,,
PH137504026,CITY OF VALENZUELA,Pulo,,
PH137504027,CITY OF VALENZUELA,Punturin,,
PH137504028,CITY OF VALENZUELA,Rincon,,
PH137504029,CITY OF VALENZUELA,Tagalag,,
PH137504030,CITY OF VALENZUELA,Ugong,,3020000
PH137504031,CITY OF VALENZUELA,Viente Reales,,7000000
PH137504032,CITY OF VALENZUELA,Wawang Pulo,,
PH137606001,PATEROS,Aguho,,
PH137606002,PATEROS,Magtanggol,,
PH137606003,PATEROS,Martires Del 96,,
PH137606004,PATEROS,Poblacion,,
PH137606005,PATEROS,San Pedro,,
PH137606006,PATEROS,San Roque,,
PH137606007,PATEROS,Santa Ana,,
PH137606008,PATEROS,Santo Rosario-Kanluran,,
PH137606009,PATEROS,Santo Rosario-Silangan,,
PH137606010,PATEROS,Tabacalera,,
PH137404001,QUEZON CITY,Alicia,,
PH137404002,QUEZON CITY,Amihan,,
PH137404003,QUEZON CITY,Apolonio Samson,,
PH137404004,QUEZON CITY,Aurora,,
PH137404005,QUEZON CITY,Baesa,,
PH137404006,QUEZON CITY,Bagbag,,
PH137404008,QUEZON CITY,Bagong Lipunan Ng Crame,,
PH137404009,QUEZON CITY,Bagong Pag-asa,,
PH137404010,QUEZON CITY,Bagong Silangan,,
PH137404011,QUEZON CITY,Bagumbayan,,
PH137404007,QUEZON CITY,Bagumbuhay,,
PH137404012,QUEZON CITY,Bahay Toro,,
PH137404013,QUEZON CITY,Balingasa,,
PH137404135,QUEZON CITY,Balong Bato,,
PH137404139,QUEZON CITY,Batasan Hills,,
PH137404014,QUEZON CITY,Bayanihan,,
PH137404015,QUEZON CITY,Blue Ridge A,,
PH137404016,QUEZON CITY,Blue Ridge B,,
PH137404017,QUEZON CITY,Botocan,,
PH137404018,QUEZON CITY,Bungad,,
PH137404019,QUEZON CITY,Camp Aguinaldo,,
PH137404136,QUEZON CITY,Capri,,
PH137404020,QUEZON CITY,Central,,
PH137404021,QUEZON CITY,Claro,,
PH137404022,QUEZON CITY,Commonwealth,,
PH137404025,QUEZON CITY,Culiat,,
PH137404026,QUEZON CITY,Damar,,
PH137404027,QUEZON CITY,Damayan,,
PH137404028,QUEZON CITY,Damayang Lagi,,
PH137404029,QUEZON CITY,Del Monte,,
PH137404030,QUEZON CITY,Dioquino Zobel,,
PH137404031,QUEZON CITY,Doña Imelda,,
PH137404032,QUEZON CITY,Doña Josefa,,
PH137404033,QUEZON CITY,Don Manuel,,
PH137404034,QUEZON CITY,Duyan-duyan,,
PH137404035,QUEZON CITY,E. Rodriguez,,
PH137404036,QUEZON CITY,East Kamias,,
PH137404037,QUEZON CITY,Escopa I,,
PH137404038,QUEZON CITY,Escopa II,,
PH137404039,QUEZON CITY,Escopa III,,
PH137404040,QUEZON CITY,Escopa IV,,
PH137404041,QUEZON CITY,Fairview,,
PH137404141,QUEZON CITY,Greater Lagro,,
PH137404043,QUEZON CITY,Gulod,,
PH137404140,QUEZON CITY,Holy Spirit,,
PH137404044,QUEZON CITY,Horseshoe,,
PH137404045,QUEZON CITY,Immaculate Concepcion,,
PH137404046,QUEZON CITY,Kaligayahan,,
PH137404047,QUEZON CITY,Kalusugan,,
PH137404048,QUEZON CITY,Kamuning,,
PH137404049,QUEZON CITY,Katipunan,,
PH137404050,QUEZON CITY,Kaunlaran,,
PH137404024,QUEZON CITY,Kristong Hari,,
PH137404051,QUEZON CITY,Krus Na Ligas,,
PH137404052,QUEZON CITY,Laging Handa,,
PH137404053,QUEZON CITY,Libis,,
PH137404054,QUEZON CITY,Lourdes,,
PH137404055,QUEZON CITY,Loyola Heights,,
PH137404056,QUEZON CITY,Maharlika,,
PH137404057,QUEZON CITY,Malaya,,
PH137404059,QUEZON CITY,Mangga,,
PH137404058,QUEZON CITY,Manresa,,
PH137404060,QUEZON CITY,Mariana,,
PH137404061,QUEZON CITY,Mariblo,,
PH137404062,QUEZON CITY,Marilag,,
PH137404063,QUEZON CITY,Masagana,,
PH137404064,QUEZON CITY,Masambong,,
PH137404066,QUEZON CITY,Matandang Balara,,
PH137404067,QUEZON CITY,Milagrosa,,
PH137404042,QUEZON CITY,N.S. Amoranto (Gintong Silahis),,
PH137404068,QUEZON CITY,Nagkaisang Nayon,,
PH137404069,QUEZON CITY,Nayong Kanluran,,
PH137404023,QUEZON CITY,New Era (Constitution Hills),,
PH137404142,QUEZON CITY,North Fairview,,
PH137404070,QUEZON CITY,Novaliches Proper,,
PH137404071,QUEZON CITY,Obrero,,
PH137404072,QUEZON CITY,Old Capitol Site,,
PH137404073,QUEZON CITY,Paang Bundok,,
PH137404074,QUEZON CITY,Pag-ibig Sa Nayon,,
PH137404075,QUEZON CITY,Paligsahan,,
PH137404076,QUEZON CITY,Paltok,,
PH137404077,QUEZON CITY,Pansol,,
PH137404078,QUEZON CITY,Paraiso,,
PH137404079,QUEZON CITY,Pasong Putik Proper (Pasong Putik),,
PH137404080,QUEZON CITY,Pasong Tamo,,
PH137404138,QUEZON CITY,Payatas,,
PH137404081,QUEZON CITY,Phil-Am,,
PH137404083,QUEZON CITY,Pinagkaisahan,,
PH137404082,QUEZON CITY,Pinyahan,,
PH137404084,QUEZON CITY,Project 6,,
PH137404085,QUEZON CITY,Quirino 2-A,,
PH137404086,QUEZON CITY,Quirino 2-B,,
PH137404087,QUEZON CITY,Quirino 2-C,,
PH137404088,QUEZON CITY,Quirino 3-A,,
PH137404089,QUEZON CITY,Ramon Magsaysay,,
PH137404090,QUEZON CITY,Roxas,,
PH137404091,QUEZON CITY,Sacred Heart,,
PH137404092,QUEZON CITY,Saint Ignatius,,
PH137404093,QUEZON CITY,Saint Peter,,
PH137404094,QUEZON CITY,Salvacion,,
PH137404095,QUEZON CITY,San Agustin,,
PH137404096,QUEZON CITY,San Antonio,,
PH137404097,QUEZON CITY,San Bartolome,,
PH137404098,QUEZON CITY,San Isidro,,
PH137404099,QUEZON CITY,San Isidro Labrador,,
PH137404100,QUEZON CITY,San Jose,,
PH137404101,QUEZON CITY,San Martin De Porres,,
PH137404102,QUEZON CITY,San Roque,,
PH137404103,QUEZON CITY,San Vicente,,
PH137404137,QUEZON CITY,Sangandaan,,
PH137404104,QUEZON CITY,Santa Cruz,,
PH137404105,QUEZON CITY,Santa Lucia,,
PH137404106,QUEZON CITY,Santa Monica,,
PH137404107,QUEZON CITY,Santa Teresita,,
PH137404108,QUEZON CITY,Santo Cristo,,
PH137404065,QUEZON CITY,Santo Domingo (Matalahib),,
PH137404109,QUEZON CITY,Santo Niño,,
PH137404110,QUEZON CITY,Santol,,
PH137404111,QUEZON CITY,Sauyo,,
PH137404112,QUEZON CITY,Sienna,,
PH137404113,QUEZON CITY,Sikatuna Village,,
PH137404114,QUEZON CITY,Silangan,,
PH137404115,QUEZON CITY,Socorro,,
PH137404116,QUEZON CITY,South Triangle,,
PH137404117,QUEZON CITY,Tagumpay,,
PH137404118,QUEZON CITY,Talayan,,
PH137404119,QUEZON CITY,Talipapa,,
PH137404120,QUEZON CITY,Tandang Sora,,
PH137404121,QUEZON CITY,Tatalon,,
PH137404122,QUEZON CITY,Teachers Village East,,
PH137404123,QUEZON CITY,Teachers Village West,,
PH137404124,QUEZON CITY,U.P. Campus,,
PH137404125,QUEZON CITY,U.P. Village,,
PH137404126,QUEZON CITY,Ugong Norte,,
PH137404127,QUEZON CITY,Unang Sigaw,,
PH137404128,QUEZON CITY,Valencia,,
PH137404129,QUEZON CITY,Vasra,,
PH137404130,QUEZON CITY,Veterans Village,,
PH137404131,QUEZON CITY,Villa Maria Clara,,
PH137404132,QUEZON CITY,West Kamias,,
PH137404133,QUEZON CITY,West Triangle,,
PH137404134,QUEZON CITY,White Plains,,
PH137607002,TAGUIG CITY,Bagumbayan,,
PH137607003,TAGUIG CITY,Bambang,248000,32000000
PH137607004,TAGUIG CITY,Calzada,,
PH137607019,TAGUIG CITY,Central Bicutan,,
PH137607013,TAGUIG CITY,Central Signal Village (Signal Village),,
PH137607020,TAGUIG CITY,Fort Bonifacio,239000,36600000
PH137607005,TAGUIG CITY,Hagonoy,60800,7300000
PH137607006,TAGUIG CITY,Ibayo-Tipas,,
PH137607021,TAGUIG CITY,Katuparan,,
PH137607007,TAGUIG CITY,Ligid-Tipas,,
PH137607008,TAGUIG CITY,Lower Bicutan,253000,21000000
PH137607009,TAGUIG CITY,Maharlika Village,,
PH137607010,TAGUIG CITY,Napindan,,
PH137607022,TAGUIG CITY,New Lower Bicutan,253000,
PH137607023,TAGUIG CITY,North Daang Hari,,
PH137607024,TAGUIG CITY,North Signal Village,,
PH137607011,TAGUIG CITY,Palingon,,
PH137607025,TAGUIG CITY,Pinagsama,264000,20300000
PH137607026,TAGUIG CITY,San Miguel,,
PH137607012,TAGUIG CITY,Santa Ana,,
PH137607027,TAGUIG CITY,South Daang Hari,,
PH137607028,TAGUIG CITY,South Signal Village,,
PH137607001,TAGUIG CITY,Tanyag (Bagong Tanyag),,
PH137607014,TAGUIG CITY,Tuktukan,114000,13300000
PH137607015,TAGUIG CITY,Upper Bicutan,,4620000
PH137607016,TAGUIG CITY,Ususan,225000,25000000
PH137607017,TAGUIG CITY,Wawa,,
PH137607018,TAGUIG CITY,Western Bicutan,223000,37800000
